population_group_id,population_group_name,measure_id,measure_name,location_id,location_name,sex_id,sex_name,age_id,age_name,cause_id,cause_name,metric_id,metric_name,year,val,upper,lower
1,All Population,5,Prevalence,1,Global,1,Male,2,0-6 days,403,Acute hepatitis C,1,Number,2023,63.4597700507918,78.49048232781693,44.66972916758279
1,All Population,5,Prevalence,1,Global,2,Female,2,0-6 days,403,Acute hepatitis C,1,Number,2023,67.49031061544987,81.04735021957727,50.01252200554359
1,All Population,5,Prevalence,1,Global,1,Male,3,7-27 days,403,Acute hepatitis C,1,Number,2023,189.46497647609027,233.72832761879724,134.22897879501346
1,All Population,5,Prevalence,1,Global,2,Female,3,7-27 days,403,Acute hepatitis C,1,Number,2023,201.8310205465997,241.9190290305299,150.4816191027276
1,All Population,5,Prevalence,1,Global,1,Male,6,5-9 years,403,Acute hepatitis C,1,Number,2023,24732.182898773663,28578.32906673292,20628.779795501825
1,All Population,5,Prevalence,1,Global,2,Female,6,5-9 years,403,Acute hepatitis C,1,Number,2023,25475.791000207835,29023.05049337353,21791.45219993616
1,All Population,5,Prevalence,1,Global,1,Male,7,10-14 years,403,Acute hepatitis C,1,Number,2023,26560.15671733409,31387.087011933625,22780.174111021814
1,All Population,5,Prevalence,1,Global,2,Female,7,10-14 years,403,Acute hepatitis C,1,Number,2023,27350.14980848752,31789.46644067671,23833.475108541326
1,All Population,5,Prevalence,1,Global,1,Male,8,15-19 years,403,Acute hepatitis C,1,Number,2023,27460.5310502884,33422.59294250994,22998.635200832807
1,All Population,5,Prevalence,1,Global,2,Female,8,15-19 years,403,Acute hepatitis C,1,Number,2023,28648.17617316818,35034.10369780334,24259.848932527395
1,All Population,5,Prevalence,1,Global,1,Male,9,20-24 years,403,Acute hepatitis C,1,Number,2023,27600.12107404637,34401.54196659295,22700.165219170834
1,All Population,5,Prevalence,1,Global,2,Female,9,20-24 years,403,Acute hepatitis C,1,Number,2023,29446.387141859635,36727.81950190461,24516.38402895261
1,All Population,5,Prevalence,1,Global,1,Male,10,25-29 years,403,Acute hepatitis C,1,Number,2023,29045.528299048045,37623.54028583581,23365.34763018546
1,All Population,5,Prevalence,1,Global,2,Female,10,25-29 years,403,Acute hepatitis C,1,Number,2023,31225.92342028165,40573.07297020033,24885.232560793276
1,All Population,5,Prevalence,1,Global,1,Male,11,30-34 years,403,Acute hepatitis C,1,Number,2023,33783.09076075949,45003.75057161113,27737.63902044265
1,All Population,5,Prevalence,1,Global,2,Female,11,30-34 years,403,Acute hepatitis C,1,Number,2023,35917.15362791897,47819.828757416144,29229.862062845263
1,All Population,5,Prevalence,1,Global,1,Male,12,35-39 years,403,Acute hepatitis C,1,Number,2023,38189.99963763629,52163.17541083485,29023.923214754497
1,All Population,5,Prevalence,1,Global,2,Female,12,35-39 years,403,Acute hepatitis C,1,Number,2023,40415.32161109924,54912.477455634005,30982.43964942426
1,All Population,5,Prevalence,1,Global,1,Male,13,40-44 years,403,Acute hepatitis C,1,Number,2023,38553.95604685725,49700.79685772149,30373.032558319475
1,All Population,5,Prevalence,1,Global,2,Female,13,40-44 years,403,Acute hepatitis C,1,Number,2023,39112.48866355679,51164.22798962688,30427.12876140832
1,All Population,5,Prevalence,1,Global,1,Male,14,45-49 years,403,Acute hepatitis C,1,Number,2023,39935.552066534176,52870.68633854806,31458.994398138817
1,All Population,5,Prevalence,1,Global,2,Female,14,45-49 years,403,Acute hepatitis C,1,Number,2023,38084.10932980567,51301.85570588986,29004.11950255164
1,All Population,5,Prevalence,1,Global,1,Male,15,50-54 years,403,Acute hepatitis C,1,Number,2023,36284.08818621898,48371.30302152205,26690.31379311221
1,All Population,5,Prevalence,1,Global,2,Female,15,50-54 years,403,Acute hepatitis C,1,Number,2023,33935.07593091949,46413.75104762135,23894.60616203916
1,All Population,5,Prevalence,1,Global,1,Male,16,55-59 years,403,Acute hepatitis C,1,Number,2023,27035.53890428612,34175.71873341377,20040.37033843695
1,All Population,5,Prevalence,1,Global,2,Female,16,55-59 years,403,Acute hepatitis C,1,Number,2023,25690.50913078247,33470.86333444185,18811.58168804788
1,All Population,5,Prevalence,1,Global,1,Male,17,60-64 years,403,Acute hepatitis C,1,Number,2023,18718.85492137442,23325.02928357301,14344.3400727665
1,All Population,5,Prevalence,1,Global,2,Female,17,60-64 years,403,Acute hepatitis C,1,Number,2023,17973.19197460843,23373.60060241022,13366.41792275123
1,All Population,5,Prevalence,1,Global,1,Male,18,65-69 years,403,Acute hepatitis C,1,Number,2023,13359.898837845703,16387.861462668698,10073.107087974777
1,All Population,5,Prevalence,1,Global,2,Female,18,65-69 years,403,Acute hepatitis C,1,Number,2023,13004.63158443073,16349.942791966292,9584.600198112828
1,All Population,5,Prevalence,1,Global,1,Male,19,70-74 years,403,Acute hepatitis C,1,Number,2023,8798.240614286704,10985.831017060344,6217.445061916079
1,All Population,5,Prevalence,1,Global,2,Female,19,70-74 years,403,Acute hepatitis C,1,Number,2023,8889.836635218433,11439.855087438227,6041.721467164085
1,All Population,5,Prevalence,1,Global,1,Male,20,75-79 years,403,Acute hepatitis C,1,Number,2023,4991.313791307336,6228.506829780372,3652.636626700719
1,All Population,5,Prevalence,1,Global,2,Female,20,75-79 years,403,Acute hepatitis C,1,Number,2023,5311.110169342446,6860.15728405017,3746.6112360793154
1,All Population,5,Prevalence,1,Global,1,Male,30,80-84 years,403,Acute hepatitis C,1,Number,2023,2697.285000119736,3438.171955208859,1914.1625160091385
1,All Population,5,Prevalence,1,Global,2,Female,30,80-84 years,403,Acute hepatitis C,1,Number,2023,3201.3476473824444,4203.380638857663,2190.9878343131754
1,All Population,5,Prevalence,1,Global,1,Male,31,85-89 years,403,Acute hepatitis C,1,Number,2023,1237.1845003122803,1578.8613234774598,847.2934952802277
1,All Population,5,Prevalence,1,Global,2,Female,31,85-89 years,403,Acute hepatitis C,1,Number,2023,1724.1919792263864,2244.4447642242303,1155.918736208261
1,All Population,5,Prevalence,1,Global,1,Male,32,90-94 years,403,Acute hepatitis C,1,Number,2023,399.3430272939031,525.7189230472799,259.21204150356846
1,All Population,5,Prevalence,1,Global,2,Female,32,90-94 years,403,Acute hepatitis C,1,Number,2023,681.8472338457542,899.6512595510421,425.69425072872696
1,All Population,5,Prevalence,1,Global,1,Male,34,2-4 years,403,Acute hepatitis C,1,Number,2023,12584.84238688096,14597.949389466616,9891.303901680549
1,All Population,5,Prevalence,1,Global,2,Female,34,2-4 years,403,Acute hepatitis C,1,Number,2023,13121.4631647032,14973.086178582122,10651.656377999663
1,All Population,5,Prevalence,1,Global,1,Male,235,95+ years,403,Acute hepatitis C,1,Number,2023,92.23537111435144,128.84911508686133,48.59234348370006
1,All Population,5,Prevalence,1,Global,2,Female,235,95+ years,403,Acute hepatitis C,1,Number,2023,211.0789594412389,300.97050177505554,109.84059286348142
